Prompts...
Compose a brief presentation of a patient presenting with hypertension. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with hypertension, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with hypertension?",I need help creating a short medical one-liner on a case about a patient with hypertension. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with hypertension. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with hypertension, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with hypertension. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with hypertension. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with hypertension. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on hypertension. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with coronary artery disease. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with coronary artery disease, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with coronary artery disease?",I need help creating a short medical one-liner on a case about a patient with coronary artery disease. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with coronary artery disease. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with coronary artery disease, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with coronary artery disease. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with coronary artery disease. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with coronary artery disease. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on coronary artery disease. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with acute myocardial infarction. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with acute myocardial infarction, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with acute myocardial infarction?",I need help creating a short medical one-liner on a case about a patient with acute myocardial infarction. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with acute myocardial infarction. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with acute myocardial infarction, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with acute myocardial infarction. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with acute myocardial infarction. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with acute myocardial infarction. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on acute myocardial infarction. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with heart failure. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with heart failure, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with heart failure?",I need help creating a short medical one-liner on a case about a patient with heart failure. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with heart failure. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with heart failure, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with heart failure. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with heart failure. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with heart failure. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on heart failure. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with stroke. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with stroke, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with stroke?",I need help creating a short medical one-liner on a case about a patient with stroke. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with stroke. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with stroke, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with stroke. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with stroke. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with stroke. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on stroke. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with atrial fibrillation. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with atrial fibrillation, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with atrial fibrillation?",I need help creating a short medical one-liner on a case about a patient with atrial fibrillation. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with atrial fibrillation. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with atrial fibrillation, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with atrial fibrillation. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with atrial fibrillation. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with atrial fibrillation. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on atrial fibrillation. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with critical limb ischemia. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with critical limb ischemia, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with critical limb ischemia?",I need help creating a short medical one-liner on a case about a patient with critical limb ischemia. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with critical limb ischemia. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with critical limb ischemia, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with critical limb ischemia. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with critical limb ischemia. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with critical limb ischemia. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on critical limb ischemia. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with deep vein thrombosis. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with deep vein thrombosis, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with deep vein thrombosis?",I need help creating a short medical one-liner on a case about a patient with deep vein thrombosis. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with deep vein thrombosis. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with deep vein thrombosis, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with deep vein thrombosis. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with deep vein thrombosis. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with deep vein thrombosis. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on deep vein thrombosis. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with acute pulmonary embolism. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with acute pulmonary embolism, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with acute pulmonary embolism?",I need help creating a short medical one-liner on a case about a patient with acute pulmonary embolism. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with acute pulmonary embolism. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with acute pulmonary embolism, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with acute pulmonary embolism. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with acute pulmonary embolism. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with acute pulmonary embolism. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on acute pulmonary embolism. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
Compose a brief presentation of a patient presenting with abdominal aortic aneurysm. Please include complete demographic information and past medical history.,"Please provide a concise example patient presentation of a patient presenting with abdominal aortic aneurysm, including complete demographic details and relevant past medical history.","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with abdominal aortic aneurysm?",I need help creating a short medical one-liner on a case about a patient with abdominal aortic aneurysm. Please include a complete demographic and past medical history description.,"Provide a brief medical problem representation featuring a patient who presents with abdominal aortic aneurysm. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Create a problem representation for a typical patient presenting with abdominal aortic aneurysm, including complete demographic characterization and relevant past medical history.",Create a case report about a patient with abdominal aortic aneurysm. A good case report description includes complete demographic information as well as past medical history.,Come up with a fake medical one-liner about a patient with abdominal aortic aneurysm. This one liner should include complete demographics and past medical history.,"I need assistance in developing a brief case presentation concerning a patient diagnosed with abdominal aortic aneurysm. Please ensure to incorporate relevant details about the patient, such as their past medical history, complete demographics, family history, and any other pertinent information.","As a medical educator, I need help designing a concise training case for medical students focusing on abdominal aortic aneurysm. Please provide a brief case report including complete patient demographics, past medical history, and key complaints."
